affiliationID,affiliation
1001,Innovative Solutions Inc.
1002,Company ABC
1003,Company ABC
1004,Company ABC
1005,Startup Hub
1006,TechCorp Ltd.
1007,TechCorp Ltd.
1008,Innovative Solutions Inc.
1009,Company ABC
1010,TechCorp Ltd.
1011,Company ABC
1012,Innovative Solutions Inc.
1013,Startup Hub
1014,Company ABC
1015,Innovative Solutions Inc.
1016,Innovative Solutions Inc.
1017,Startup Hub
1018,Innovative Solutions Inc.
1019,Startup Hub
1020,Company ABC
1021,Innovative Solutions Inc.
1022,TechCorp Ltd.
1023,Company ABC
1024,Innovative Solutions Inc.
1025,Innovative Solutions Inc.
1026,Company ABC
1027,Innovative Solutions Inc.
1028,Startup Hub
1029,Company ABC
1030,Company ABC
1031,Company ABC
1032,Innovative Solutions Inc.
1033,Startup Hub
1034,TechCorp Ltd.
1035,TechCorp Ltd.
1036,Company ABC
1037,Company ABC
1038,Company ABC
1039,Startup Hub
1040,TechCorp Ltd.
1041,Startup Hub
1042,Innovative Solutions Inc.
1043,Startup Hub
1044,Innovative Solutions Inc.
1045,Company ABC
1046,Startup Hub
1047,Company ABC
1048,TechCorp Ltd.
1049,Startup Hub
1050,TechCorp Ltd.
1051,Company ABC
1052,Company ABC
1053,Startup Hub
1054,Company ABC
1055,TechCorp Ltd.
1056,Company ABC
1057,TechCorp Ltd.
1058,TechCorp Ltd.
1059,Startup Hub
1060,Innovative Solutions Inc.
1061,Company ABC
1062,TechCorp Ltd.
1063,TechCorp Ltd.
1064,Innovative Solutions Inc.
1065,Company ABC
1066,Innovative Solutions Inc.
1067,Startup Hub
1068,Startup Hub
1069,Innovative Solutions Inc.
1070,TechCorp Ltd.
1071,Company ABC
